"Timestamp","Are you planning to cast your vote in the presidential election 2019?","In your opinion, which party is more likely to win this presidential election?","As of now to whom you will cast your vote in the presidential election? ","Are you influenced by the public opinion regarding the presidential candidates","What is the main electoral issue you have considered when you are deciding to whom is your vote is?","Is this the first presidential election you are going to cast your vote?","If No, would you like to share about to whom you voted in the last election?","If yes to whom you have voted?","Gender","How old are you?","Which religion do you follow?","Your ethnicity?","What is the highest educational qualification you have obtained?","District","Electoral Division","What is your current employment status?","Monthly Income (Individual )","How do you feel  about this survey",""
"2019/10/31 6:22:58 AM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No","National Security;Development Of the Country;Religious issues","No","Not Applicable","Not Applicable","Female","28","Hinduism","Sri Lankan Tamil","Graduate/Postgraduate / Professional","Vavuniya","Thonikkal ","Private sector employee","50000-99999 LKR","Good",""
"2019/10/31 6:40:52 AM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No","National Security;Development Of the Country","Yes","Not Applicable","Not Applicable","Male","26","Christianity","Sri Lankan Tamil","G.C.E Advance Level","Mulativu","PTK","Private sector employee","50000-99999 LKR","Good",""
"2019/10/31 6:51:57 AM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","Yes","National Security;Development Of the Country;Cost of Living;Foreign intervention;Economic freedom","No","Yes","Maithripala Sirisena","Male","25","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Kurunegala","Dambadeniya","Private sector employee","50000-99999 LKR","Good",""
"2019/10/31 7:34:15 AM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No","National Security;Development Of the Country;Employment Opportunities;Cost of Living;Freedom","No","Yes","Maithripala Sirisena","Male","43","Christianity","Sri Lankan Tamil","Graduate/Postgraduate / Professional","Vavuniya","","Government employee","30000-49999 LKR","Good",""
"2019/10/31 7:49:24 AM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","Yes","Cost of Living","No","Yes","Maithripala Sirisena","Male","24","Hinduism","Sri Lankan Tamil","Graduate/Postgraduate / Professional","Vavuniya","","Private sector employee","15000-29900 LKR","Good",""
"2019/10/31 7:52:29 AM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","Yes","National Security;Development Of the Country;Employment Opportunities;Ethnic issues;Religious issues;Economic freedom;Pollution","No","Yes","Maithripala Sirisena","Male","23","Islam","Muslim","Vocational Education","Matale","","Self-employed/Business","Above 200000 LKR","Good",""
"2019/10/31 10:30:16 AM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No","National Security;Development Of the Country;Cost of Living;Religious issues;Freedom","No","Yes","Mahinda Rajapaksa","Female","34","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Colombo","Kolonnawa","Private sector employee","50000-99999 LKR","Good",""
"2019/10/31 10:49:05 AM GMT+5:30","No","No Answer","Unknown","No","National Security;Development Of the Country;Employment Opportunities;Cost of Living;Ethnic issues;Religious issues;Foreign intervention;Economic freedom;Pollution;Freedom","Yes","Not Applicable","Not Applicable","Male","26","Islam","Muslim","Graduate/Postgraduate / Professional","Colombo","No Idea","Private sector employee","Don't like to Share","Good",""
"2019/10/31 5:36:15 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No","Freedom","No","Yes","Mahinda Rajapaksa","Male","28","Christianity","Sri Lankan Tamil","Graduate/Postgraduate / Professional","Vavuniya","Vavuniya ","Self-employed/Business","100000-200000 LKR","Good",""
"2019/10/31 5:39:48 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No","National Security","No","Yes","Maithripala Sirisena","Male","35","Christianity","Sri Lankan Tamil","Graduate/Postgraduate / Professional","Vavuniya","Vanni","Self-employed/Business","Above 200000 LKR","Good",""
"2019/10/31 5:42:35 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","Yes","National Security;Development Of the Country;Employment Opportunities;Cost of Living;Ethnic issues;Religious issues;Foreign intervention;Economic freedom;Pollution;Freedom","No","Yes","Maithripala Sirisena","Male","24","Christianity","Sri Lankan Tamil","Graduate/Postgraduate / Professional","Kandy","Gangewattakorale","Private sector employee","50000-99999 LKR","Good",""
"2019/10/31 6:44:08 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No Idea","Economic freedom","Yes","Not Applicable","Not Applicable","Male","45","Other","Other","Graduate/Postgraduate / Professional","Jaffna","Jaffna ","No answer","Above 200000 LKR","Good",""
"2019/11/01 12:51:20 AM GMT+5:30","Yes","The National People's Power (NPP)","Anura Kumara Dissanayake (NPP)","No","Development Of the Country;Ethnic issues;Religious issues;Corruption ","Yes","Not Applicable","Not Applicable","Male","24","Christianity","Burgers","Graduate/Postgraduate / Professional","Kandy","Kandy","Private sector employee","30000-49999 LKR","Good",""
"2019/11/01 8:31:11 AM GMT+5:30","No Answer","No Answer","No Answer","Yes","National Security;Development Of the Country;Employment Opportunities;Cost of Living;Ethnic issues;Religious issues;Foreign intervention;Economic freedom;Pollution;Freedom","No","Not Applicable","Not Applicable","Male","27","Christianity","Sri Lankan Tamil","Graduate/Postgraduate / Professional","Jaffna","Jaffna","Private sector employee","50000-99999 LKR","Good",""
"2019/11/01 8:39:18 AM GMT+5:30","Yes","United National Party (UNP)","","No","Cost of Living","No","No","Not Applicable","Female","24","Hinduism","Sri Lankan Tamil","Graduate/Postgraduate / Professional","Jaffna","Vali west","Student","No Income","Good",""
"2019/11/02 1:50:19 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","Yes","National Security;Development Of the Country;Employment Opportunities;Cost of Living;Ethnic issues;Religious issues;Foreign intervention;Economic freedom;Pollution;Freedom","No","Yes","Mahinda Rajapaksa","Male","22","Buddhism","Sinhala","Vocational Education","Gampaha","Nathuduwa, Kelaniya / Nathuduwa West.","Private sector employee","15000-29900 LKR","Good",""
